"Timestamp","Din TBF","Jordnötens nummer","Betygsätt totalupplevelsen","Salt","Knaprig","Rostad","Flottig","Kommentar"
"2016-09-24 19:29:17 +0200","NDF","3","4","4","4","3","3",""
"2016-09-24 19:29:28 +0200","DAG","5","4","3","4","5","3",""
"2016-09-24 19:29:46 +0200","PSI","18","4","4","4","6","6",""
"2016-09-24 19:29:51 +0200","SAS","20","4","3","5","5","7",""
"2016-09-24 19:29:58 +0200","IFK","13","5","2","5","6","3",""
"2016-09-24 19:30:13 +0200","NDF","10","5","5","5","6","4",""
"2016-09-24 19:30:13 +0200","DAG","16","6","6","5","5","4",""
"2016-09-24 19:30:15 +0200","WWW","2","4","3","5","4","3",""
"2016-09-24 19:31:09 +0200","NDF","5","3","3","4","5","4",""
"2016-09-24 19:31:18 +0200","WWW","8","4","4","4","4","4",""
"2016-09-24 19:31:37 +0200","FTV","7","4","4","5","5","4","Tråkig men ok "
"2016-09-24 19:31:53 +0200","IFK","11","5","5","4","3","5",""
"2016-09-24 19:32:05 +0200","NDF","16","3","3","5","4","4",""
"2016-09-24 19:32:06 +0200","PSI","20","2","3","6","5","7","Verkar ha friterats tillsammans med pommes frites. "
"2016-09-24 19:32:13 +0200","SAS","9","4","2","4","5","5",""
"2016-09-24 19:32:39 +0200","WWW","5","2","3","1","3","3","Äcklig "
"2016-09-24 19:32:50 +0200","ROT","19","6","5","5","6","3",""
"2016-09-24 19:33:30 +0200","WWW","16","5","5","6","4","4",""
"2016-09-24 19:34:34 +0200","SAS","12","2","3","7","5","4",""
"2016-09-24 19:39:08 +0200","OSV","9","2","1","4","4","3",""
"2016-09-24 19:40:16 +0200","SAS","14","4","2","6","6","5",""
"2016-09-24 19:40:48 +0200","OSV","15","5","3","6","5","3",""
"2016-09-24 19:41:54 +0200","ATG","10","2","7","5","6","3",""
"2016-09-24 19:43:03 +0200","ATG","3","6","4","6","6","4",""
"2016-09-24 19:44:12 +0200","ATG","2","5","5","6","5","5",""
"2016-09-24 19:45:13 +0200","ATG","8","5","6","5","2","5",""
"2016-09-24 19:46:40 +0200","ATG","5","2","4","3","6","5",""
"2016-09-24 19:48:05 +0200","ATG","16","6","6","5","5","6",""
"2016-09-24 19:49:35 +0200","ARN","16","5","5","6","5","4",""
